ticker_short,ticker_full,name,INDUSTRY_SECTOR,INDUSTRY_GROUP,px last,CRNCY,type
ABRD,ABRD.ME,ABRAU-DURSO PJSC,"Consumer, Non-cyclical",Beverages,81,RUB,C
AESL,AESL.ME,TORGOVO PROMYSLENNAA GRUPPA,"Consumer, Cyclical",Home Furnishings,75,RUB,C
AFKS,AFKS.ME,SISTEMA PJSC FC,Communications,Telecommunications,23.355,RUB,C
AFLT,AFLT.ME,AEROFLOT PJSC,"Consumer, Cyclical",Airlines,85.14,RUB,C
AKRN,AKRN.ME,ACRON PJSC,Basic Materials,Chemicals,3550,RUB,C
ALBK,ALBK.ME,BEST EFFORTS BANK PJSC,Financial,Banks,20.5,RUB,C
ALNU,ALNU.ME,ALROSA-NYURBA PJSC,Basic Materials,Mining,137000,RUB,C
ALRS,ALRS.ME,ALROSA PJSC,Basic Materials,Mining,71.28,RUB,C
AMEZ,AMEZ.ME,ASHINSKIY METALLURGICAL WORK,Basic Materials,Iron/Steel,3.18,RUB,C
APTK,APTK.ME,PHARMACY CHAIN 36.6 PJSC,"Consumer, Non-cyclical",Pharmaceuticals,11.69,RUB,C
AQUA,AQUA.ME,RUSSIAN AQUACULTURE PJSC,"Consumer, Non-cyclical",Food,34.6,RUB,C
ARSA,ARSA.ME,ARSAGERA JSC,Financial,Diversified Finan Serv,2.17,RUB,C
ASSB,ASSB.ME,ASTRAKHAN POWER SALE CO PAO,Utilities,Electric,0.38,RUB,C
AVAN,AVAN.ME,AVANGARD BANK PJSC,Financial,Banks,348,RUB,C
AVAZ,AVAZ.ME,AVTOVAZ PJSC,"Consumer, Cyclical",Auto Manufacturers,8.01,RUB,C
AVAZP,AVAZP.ME,AVTOVAZ,"Consumer, Cyclical",Auto Manufacturers,3.695,RUB,P
BANE,BANE.ME,BASHNEFT PJSC,Energy,Oil&Gas,3050.5,RUB,C
BANEP,BANEP.ME,BASHNEFT PAO -PREF,Energy,Oil&Gas,1904,RUB,P
BISV,BISV.ME,BASHINFORMSVYAZ PJSC,Communications,Telecommunications,8.7,RUB,C
BISVP,BISVP.ME,BASHINFORMSVYAZ-CLS-PFD,Communications,Telecommunications,4.27,RUB,P
BLNG,BLNG.ME,BELON OJSC,Energy,Coal,4.38,RUB,C
BRZL,BRZL.ME,BURYATZOLOTO PJSC,Basic Materials,Mining,1310,RUB,C
BSPB,BSPB.ME,BANK ST PETERSBURG PJSC,Financial,Banks,57.5,RUB,C
CBOM,CBOM.ME,CREDIT BANK OF MOSCOW PJSC,Financial,Banks,3.94,RUB,C
CHEP,CHEP.ME,CHELPIPE OJSC,Industrial,Metal Fabricate/Hardware,73.4,RUB,C
CHGZ,CHGZ.ME,CHERNOGORNEFT PAO,Energy,Oil&Gas,26.2,RUB,C
CHKZ,CHKZ.ME,CHELYABINSK FORGE&PRESS-BRD,"Consumer, Cyclical",Auto Parts&Equipment,1910,RUB,C
CHMF,CHMF.ME,SEVERSTAL PJSC,Basic Materials,Iron/Steel,769.5,RUB,C
CHMK,CHMK.ME,CHELYABINSK METALLURGICAL PL,Basic Materials,Iron/Steel,3300,RUB,C
CHZN,CHZN.ME,CHELYABINSK ZINC PLANT JSC,Basic Materials,Mining,408,RUB,C
CLSB,CLSB.ME,CHELYABINSK POWER SALE PAO,Utilities,Electric,0.1075,RUB,C
CLSBP,CLSBP.ME,CHELYABENERGOSBYT OAO-PREF,Utilities,Electric,0.098,RUB,P
CNTL,CNTL.ME,CENTRAL TELEGRAPH PJSC,Communications,Telecommunications,21.8,RUB,C
CNTLP,CNTLP.ME,CENTRAL TELEGRAPH-PFD-CLS,Communications,Telecommunications,6.2,RUB,P
DASB,DASB.ME,DAGESTAN ENERGY SUPPLY CO PA,Utilities,Electric,0.478,RUB,C
DGBZ,DGBZ.ME,DOROGOBUZH PJSC,Basic Materials,Chemicals,39.8,RUB,C
DIOD,DIOD.ME,DIOD OJSC,"Consumer, Non-cyclical",Pharmaceuticals,3.67,RUB,C
DIXY,DIXY.ME,DIXY GROUP PJSC,"Consumer, Non-cyclical",Food,324.8,RUB,C
DVEC,DVEC.ME,FAR-EASTERN ENERGY CO PJSC,Utilities,Electric,0.605,RUB,C
DZRD,DZRD.ME,DONSKOY FACTORY OF RADIODETA,Technology,Semiconductors,1800,RUB,C
DZRDP,DZRDP.ME,DONSKOY ZAVOD RADIODETAL-PFD,Technology,Semiconductors,1400,RUB,P
ELTZ,ELTZ.ME,ELECTROZINC OJSC-CLS,Basic Materials,Mining,598,RUB,C
ENRU,ENRU.ME,ENEL RUSSIA PJSC,Utilities,Electric,0.82,RUB,C
EPLN,EPLN.ME,EUROPLAN PJSC,"Consumer, Non-cyclical",Commercial Services,632,RUB,C
ERCO,ERCO.ME,RUSSIAN ELECTRIC POWER-CLS,"Consumer, Non-cyclical",Commercial Services,#N/A N/A,RUB,C
FEES,FEES.ME,FEDERAL GRID CO UNIFIED ENER,Utilities,Electric,0.15735,RUB,C
FESH,FESH.ME,FAR EASTERN SHIPPING CO PLC,Industrial,Transportation,1.705,RUB,C
FORTP,FORTP.ME,FORT OJSC-PREF,Financial,Real Estate,10.35,RUB,P
GAZA,GAZA.ME,GAZ OJSC,"Consumer, Cyclical",Auto Manufacturers,423,RUB,C
GAZAP,GAZAP.ME,GAZ OJSC,"Consumer, Cyclical",Auto Manufacturers,374,RUB,P
GAZC,GAZC.ME,GAZKON PJSC,Financial,Investment Companies,293,RUB,C
GAZP,GAZP.ME,GAZPROM PJSC,Energy,Oil&Gas,134.19,RUB,C
GAZS,GAZS.ME,GAZ-SERVICE PJSC,Financial,Investment Companies,293,RUB,C
GAZT,GAZT.ME,GAZ-TEK PJSC,Utilities,Gas,111.5,RUB,C
GCHE,GCHE.ME,CHERKIZOVO GROUP PJSC,"Consumer, Non-cyclical",Food,847,RUB,C
GMKN,GMKN.ME,MMC NORILSK NICKEL PJSC,Basic Materials,Mining,9640,RUB,C
GRAZ,GRAZ.ME,RAZGULAY GROUP PJSC,"Consumer, Non-cyclical",Agriculture,3.92,RUB,C
GRNT,GRNT.ME,UTS PJSC,"Consumer, Non-cyclical",Commercial Services,1.17,RUB,C
GTPR,GTPR.ME,GLAVTORGPRODUCT JSC,"Consumer, Non-cyclical",Food,1.6,RUB,C
GTSS,GTSS.ME,GEOTECH SEISMIC SERVICES PJS,Energy,Oil&Gas Services,#N/A N/A,RUB,C
HALS,HALS.ME,HALS-DEVELOPMENT PJSC,Financial,Real Estate,1400,RUB,C
HIMC,HIMC.ME,KHIMPROM PJSC,Basic Materials,Chemicals,0.99,RUB,C
HIMCP,HIMCP.ME,KHIMPROM CHEBOKSARY-PFD-CLS,Basic Materials,Chemicals,1.915,RUB,P
HMBO,HMBO.ME,KHANTY-MANSIYSK BANK OTKRITI,Financial,Banks,#N/A N/A,RUB,C
HYDR,HYDR.ME,RUSHYDRO PJSC,Utilities,Electric,0.7,RUB,C
IDVP,IDVP.ME,INVEST-DEVELOPMENT PJSC,Financial,Diversified Finan Serv,8200,RUB,C
IGST,IGST.ME,IZHSTAL-CLS,Basic Materials,Iron/Steel,745,RUB,C
IGST03,IGST03.ME,IZHSTAL-CLS,Basic Materials,Iron/Steel,#N/A N/A,RUB,C
IGSTP,IGSTP.ME,IZHSTAL-CLS PFD,Basic Materials,Iron/Steel,357,RUB,P
IRAO,IRAO.ME,INTER RAO UES PJSC,Utilities,Electric,2.6,RUB,C
IRGZ,IRGZ.ME,IRKUTSKENERGO PJSC,Utilities,Electric,14.35,RUB,C
IRKT,IRKT.ME,IRKUT CORP PJSC,Industrial,Aerospace/Defense,9.28,RUB,C
ISKJ,ISKJ.ME,HUMAN STEM CELLS INSTITUTE P,"Consumer, Non-cyclical",Biotechnology,19.65,RUB,C
JNOS,JNOS.ME,YAROSLAVNEFTEORGSINTEZ,Energy,Oil&Gas,25.3,RUB,C
JNOSP,JNOSP.ME,YAROSLAVNEFTEORGSINTEZ-PFD,Energy,Oil&Gas,19,RUB,P
KAZT,KAZT.ME,KUIBYSHEVAZOT OJSC,Basic Materials,Chemicals,86.9,RUB,C
KAZTP,KAZTP.ME,KUIBYSHEVAZOT-PFD-CLS,Basic Materials,Chemicals,85.9,RUB,P
KBSB,KBSB.ME,KUBAN ENERGY RETAIL CO,Utilities,Electric,162,RUB,C
KBTK,KBTK.ME,KUZBASSKAYA TOPLIVNAYA CO,Energy,Coal,61.8,RUB,C
KCHE,KCHE.ME,KAMCHATSKENERGO PJSC,Utilities,Electric,0.0885,RUB,C
KCHEP,KCHEP.ME,KAMCHATSKENERGO-CLS-PFD,Utilities,Electric,0.096,RUB,P
KGKC,KGKC.ME,KURGANSKAYA GENERIRUYUSHCHAY,Energy,Energy-Alternate Sources,45.9,RUB,C
KGKCP,KGKCP.ME,KURGANSKAYA GENERIRUYUSHCHAY,Energy,Energy-Alternate Sources,52.4,RUB,P
KLSB,KLSB.ME,KALUGA POWER SALE CO OJSC,Utilities,Electric,23,RUB,C
KMAZ,KMAZ.ME,KAMAZ PJSC,"Consumer, Cyclical",Auto Manufacturers,34.95,RUB,C
KMEZ,KMEZ.ME,KOVROVSKIY MEKHANIC,Industrial,Miscellaneous Manufactur,360,RUB,C
KMTZ,KMTZ.ME,KOSAYA GORA IRON WORKS PJSC,Basic Materials,Iron/Steel,#N/A N/A,RUB,C
KOGK,KOGK.ME,KORSHYNOV MINING PLANT OJSC,Basic Materials,Iron/Steel,32000,RUB,C
KRKN,KRKN.ME,SARATOVSKIY NEFTEPERERABATYV,Energy,Oil&Gas,9800,RUB,C
KRKNP,KRKNP.ME,SARATOVSKY NEFTE ZAVOD-PREF,Energy,Oil&Gas,12050,RUB,P
KRKO,KRKO.ME,KRASNYI KOTELSCHIK TKZ PAO,Industrial,Machinery-Diversified,11.8,RUB,C
KRKOP,KRKOP.ME,KRASNY KOTELSCHIK-US-PREF,Industrial,Machinery-Diversified,2.08,RUB,P
KROT,KROT.ME,KRASNYJ OCTYABR CO,"Consumer, Non-cyclical",Food,170.5,RUB,C
KROTP,KROTP.ME,KRASNYJ OCTYABR-PFD-CLS,"Consumer, Non-cyclical",Food,102.5,RUB,P
KRSB,KRSB.ME,KRASNOYARSKENERGOSBYT PAO,Utilities,Electric,3.92,RUB,C
KRSBP,KRSBP.ME,KRASNOYARSKENERGOSBYT-CLS,Utilities,Electric,3.91,RUB,P
KRSG,KRSG.ME,KRASNOYARSK HPP PJSC,Utilities,Electric,78.9,RUB,C
KSGR,KSGR.ME,KOKS,Basic Materials,Iron/Steel,#N/A N/A,RUB,C
