short_ticker,trade_date,close_price,moving average,last_price
yndx,2017-03-02,1358.5,,
yndx,2017-03-03,1370,,
yndx,2017-03-06,1359,,
yndx,2017-03-07,1364,,
yndx,2017-03-09,1359.5,,
yndx,2017-03-10,1360,,
yndx,2017-03-13,1366.5,,
yndx,2017-03-14,1357,,
yndx,2017-03-15,1341,,
yndx,2017-03-16,1375,,
yndx,2017-03-17,1354,,
yndx,2017-03-20,1348,,
yndx,2017-03-21,1311,,
yndx,2017-03-22,1291,1351.04,
yndx,2017-03-23,1288,1346.0,
yndx,2017-03-24,1280.5,1339.61,
yndx,2017-03-27,1261,1332.61,
yndx,2017-03-28,1277.5,1326.43,
yndx,2017-03-29,1262,1319.46,
yndx,2017-03-30,1247.5,1311.43,
yndx,2017-03-31,1245.5,1302.79,
yndx,2017-04-03,1242,1294.57,
yndx,2017-04-04,1239,1287.29,
yndx,2017-04-05,1298,1281.79,
yndx,2017-04-06,1289,1277.14,
yndx,2017-04-07,1260,1270.86,
yndx,2017-04-10,1249.5,1266.46,
yndx,2017-04-11,1250.5,1263.57,
yndx,2017-04-12,1284,1263.29,
yndx,2017-04-13,1289,1263.89,
yndx,2017-04-14,1268.5,1264.43,
yndx,2017-04-17,1367.5,1270.86,
yndx,2017-04-18,1336.5,1276.18,
yndx,2017-04-19,1331.5,1282.18,
yndx,2017-04-20,1328,1288.07,
yndx,2017-04-21,1310,1292.93,
yndx,2017-04-24,1317,1298.5,
yndx,2017-04-25,1338,1301.36,
yndx,2017-04-26,1404,1309.57,
yndx,2017-04-27,1520,1328.14,
yndx,2017-04-28,1534.5,1348.5,
yndx,2017-05-02,1549,1369.82,
yndx,2017-05-03,1528,1387.25,
yndx,2017-05-04,1581,1408.11,
yndx,2017-05-05,1570,1429.64,
yndx,2017-05-10,1590,1445.54,
yndx,2017-05-11,1562.5,1461.68,
yndx,2017-05-12,1592,1480.29,
yndx,2017-05-15,1619,1501.07,
yndx,2017-05-16,1611,1522.57,
yndx,2017-05-17,1608,1543.36,
yndx,2017-05-18,1565,1559.57,
yndx,2017-05-19,1611.5,1574.39,
yndx,2017-05-22,1608,1580.68,
yndx,2017-05-23,1611.5,1586.18,
yndx,2017-05-24,1611,1590.61,
yndx,2017-05-25,1584,1594.61,
yndx,2017-05-26,1568,1593.68,
yndx,2017-05-29,1573.5,1593.93,
yndx,2017-05-30,1552,1591.21,
yndx,2017-05-31,1505,1587.11,
yndx,2017-06-01,1520,1581.96,
yndx,2017-06-02,1478,1571.89,
yndx,2017-06-05,1525,1565.75,
yndx,2017-06-06,1524.5,1559.79,
yndx,2017-06-07,1527,1557.07,
yndx,2017-06-08,1519,1550.46,
yndx,2017-06-09,1541.5,1545.71,
yndx,2017-06-13,1480,1536.32,
yndx,2017-06-14,1482.5,1527.14,
yndx,2017-06-15,1495.5,1520.82,
yndx,2017-06-16,1464.5,1513.43,
yndx,2017-06-19,1541,1511.11,
yndx,2017-06-20,1554,1511.25,
yndx,2017-06-21,1584,1516.89,
yndx,2017-06-22,1618,1523.89,
yndx,2017-06-23,1616.5,1533.79,
yndx,2017-06-26,1608,1539.71,
yndx,2017-06-27,1582.5,1543.86,
yndx,2017-06-28,1612,1549.93,
yndx,2017-06-29,1588,1554.86,
yndx,2017-06-30,1536,1554.46,
yndx,2017-07-03,1558,1560.04,
yndx,2017-07-04,1569.5,1566.25,
yndx,2017-07-05,1558.5,1570.75,
yndx,2017-07-06,1564.5,1577.89,
yndx,2017-07-07,1581,1580.75,
yndx,2017-07-10,1596,1583.75,
yndx,2017-07-11,1612,1585.75,
yndx,2017-07-12,1632,1586.75,
yndx,2017-07-13,1898.5,1606.89,
yndx,2017-07-14,1867,1625.39,
yndx,2017-07-17,1866,1645.64,
yndx,2017-07-18,1867,1663.86,
yndx,2017-07-19,1849,1682.5,
yndx,2017-07-20,1845,1704.57,
yndx,2017-07-21,1858,1726.0,
yndx,2017-07-24,1916,1750.75,
yndx,2017-07-25,1906,1775.57,
yndx,2017-07-26,1899.5,1799.5,
yndx,2017-07-27,1888.5,1821.46,
yndx,2017-07-28,1754.5,1832.79,
yndx,2017-07-31,1743,1842.14,
yndx,2017-08-01,1748,1850.43,
yndx,2017-08-02,1719,1837.61,
yndx,2017-08-03,1744,1828.82,
yndx,2017-08-04,1770.5,1822.0,
yndx,2017-08-07,1795.5,1816.89,
yndx,2017-08-08,1792.5,1812.86,
yndx,2017-08-09,1835.5,1812.18,
yndx,2017-08-10,1786,1807.04,
yndx,2017-08-11,1731.5,1793.86,
yndx,2017-08-14,1765.5,1783.82,
yndx,2017-08-15,1798,1776.57,
yndx,2017-08-16,1818,1771.54,
yndx,2017-08-17,1832,1777.07,
yndx,2017-08-18,1785,1780.07,
yndx,2017-08-21,1769,1781.57,
