short_ticker,trade_date,close_price,moving average,last_price
ABRD,2020-03-31,133,,133.5
ABRD,2020-04-01,134,,133.5
ABRD,2020-04-02,133.5,,133.5
AFKS,2020-03-31,13.115,,13.278
AFKS,2020-04-01,12.93,,13.278
AFKS,2020-04-02,13.01,,13.278
AFLT,2020-03-31,68.38,,70.42
AFLT,2020-04-01,68,,70.42
AFLT,2020-04-02,68.8,,70.42
AKRN,2020-03-31,5990,,5946
AKRN,2020-04-01,5970,,5946
AKRN,2020-04-02,5950,,5946
ALBK,2020-03-31,49.5,,51.5
ALBK,2020-04-01,49.5,,51.5
ALBK,2020-04-02,49.5,,51.5
ALNU,2020-03-31,47400,,47600
ALNU,2020-04-01,46600,,47600
ALNU,2020-04-02,46800,,47600
ALRS,2020-03-31,64.59,,62.4
ALRS,2020-04-01,63.43,,62.4
ALRS,2020-04-02,61.8,,62.4
AMEZ,2020-03-31,3.74,,3.675
AMEZ,2020-04-01,3.755,,3.675
AMEZ,2020-04-02,3.66,,3.675
APTK,2020-03-31,14.184,,13.58
APTK,2020-04-01,13.9,,13.58
APTK,2020-04-02,13.678,,13.58
AQUA,2020-03-31,233.5,,218
AQUA,2020-04-01,232,,218
AQUA,2020-04-02,234,,218
ARSA,2020-03-31,3.03,,3.1
ARSA,2020-04-01,3.15,,3.1
ARSA,2020-04-02,3.11,,3.1
ASSB,2020-03-31,0.54,,0.5645
ASSB,2020-04-01,0.554,,0.5645
ASSB,2020-04-02,0.5505,,0.5645
AVAN,2020-03-31,645,,675
AVAN,2020-04-01,670,,675
AVAN,2020-04-02,675,,675
BANE,2020-03-31,1539,,1639.5
BANE,2020-04-01,1530.5,,1639.5
BANE,2020-04-02,1583,,1639.5
BANEP,2020-03-31,1330,,1384.5
BANEP,2020-04-01,1318.5,,1384.5
BANEP,2020-04-02,1350.5,,1384.5
BISV,2020-03-31,,,
BISV,2020-04-01,,,
BISV,2020-04-02,,,
BISVP,2020-03-31,6.76,,7.04
BISVP,2020-04-01,7,,7.04
BISVP,2020-04-02,6.97,,7.04
BLNG,2020-03-31,3.968,,4.086
BLNG,2020-04-01,4.008,,4.086
BLNG,2020-04-02,4.08,,4.086
BRZL,2020-03-31,814,,806
BRZL,2020-04-01,808,,806
BRZL,2020-04-02,805,,806
BSPB,2020-03-31,43.1,,43.68
BSPB,2020-04-01,43.31,,43.68
BSPB,2020-04-02,43.4,,43.68
CBOM,2020-03-31,5.495,,5.474
CBOM,2020-04-01,5.402,,5.474
CBOM,2020-04-02,5.465,,5.474
CHEP,2020-03-31,189,,194.5
CHEP,2020-04-01,190.5,,194.5
CHEP,2020-04-02,189,,194.5
CHGZ,2020-03-31,29.8,,30.4
CHGZ,2020-04-01,30,,30.4
CHGZ,2020-04-02,30,,30.4
CHKZ,2020-03-31,4300,,4360
CHKZ,2020-04-01,4220,,4360
CHKZ,2020-04-02,4180,,4360
CHMF,2020-03-31,866.6,,876.4
CHMF,2020-04-01,848.4,,876.4
CHMF,2020-04-02,859.6,,876.4
CHMK,2020-03-31,2335,,2305
CHMK,2020-04-01,2300,,2305
CHMK,2020-04-02,2335,,2305
CNTL,2020-03-31,18.9,,19.4
CNTL,2020-04-01,19.6,,19.4
CNTL,2020-04-02,19.35,,19.4
CNTLP,2020-03-31,15.88,,16.26
CNTLP,2020-04-01,16.62,,16.26
CNTLP,2020-04-02,16.12,,16.26
DASB,2020-03-31,0.0851,,0.089
DASB,2020-04-01,0.0847,,0.089
DASB,2020-04-02,0.0878,,0.089
DIOD,2020-03-31,4.92,,4.9
DIOD,2020-04-01,4.9,,4.9
DIOD,2020-04-02,4.91,,4.9
DVEC,2020-03-31,0.772,,0.792
DVEC,2020-04-01,0.788,,0.792
DVEC,2020-04-02,0.778,,0.792
DZRD,2020-03-31,1996,,2022
DZRD,2020-04-01,1998,,2022
DZRD,2020-04-02,2018,,2022
DZRDP,2020-03-31,1410,,1470
DZRDP,2020-04-01,1400,,1470
DZRDP,2020-04-02,1430,,1470
ELTZ,2020-03-31,172,,167.5
ELTZ,2020-04-01,169,,167.5
ELTZ,2020-04-02,167.5,,167.5
ENRU,2020-03-31,0.8705,,0.8925
ENRU,2020-04-01,0.854,,0.8925
ENRU,2020-04-02,0.8685,,0.8925
FEES,2020-03-31,0.16098,,0.16224
FEES,2020-04-01,0.15922,,0.16224
FEES,2020-04-02,0.15962,,0.16224
FESH,2020-03-31,5.74,,6.84
FESH,2020-04-01,5.97,,6.84
FESH,2020-04-02,6.54,,6.84
GAZA,2020-03-31,364,,376.5
GAZA,2020-04-01,372,,376.5
GAZA,2020-04-02,378.5,,376.5
GAZAP,2020-03-31,310,,318
GAZAP,2020-04-01,309.5,,318
GAZAP,2020-04-02,302.5,,318
GAZC,2020-03-31,,,
GAZC,2020-04-01,,,
GAZC,2020-04-02,,,
GAZP,2020-03-31,181.41,,192.89
GAZP,2020-04-01,180.06,,192.89
GAZP,2020-04-02,187.04,,192.89
GAZS,2020-03-31,,,
GAZS,2020-04-01,,,
GAZS,2020-04-02,,,
GAZT,2020-03-31,,,
GAZT,2020-04-01,,,
GAZT,2020-04-02,,,
GCHE,2020-03-31,1888,,1984
GCHE,2020-04-01,1905.5,,1984
GCHE,2020-04-02,1965,,1984
GMKN,2020-03-31,19518,,19110
GMKN,2020-04-01,18952,,19110
GMKN,2020-04-02,18998,,19110
GTSS,2020-03-31,,,
GTSS,2020-04-01,,,
GTSS,2020-04-02,,,
HALS,2020-03-31,720,,764
HALS,2020-04-01,714,,764
HALS,2020-04-02,720,,764
HIMC,2020-03-31,,,
HIMC,2020-04-01,,,
HIMC,2020-04-02,,,
HIMCP,2020-03-31,5.64,,5.59
HIMCP,2020-04-01,5.51,,5.59
HIMCP,2020-04-02,5.55,,5.59
HYDR,2020-03-31,0.6077,,0.6301
HYDR,2020-04-01,0.6079,,0.6301
HYDR,2020-04-02,0.6223,,0.6301
IDVP,2020-03-31,74000,,
IDVP,2020-04-01,81000,,
IDVP,2020-04-02,,,
IGST,2020-03-31,690,,698
IGST,2020-04-01,700,,698
IGST,2020-04-02,688,,698
IGSTP,2020-03-31,630,,638
IGSTP,2020-04-01,640,,638
IGSTP,2020-04-02,638,,638
IRAO,2020-03-31,4.9225,,4.993
IRAO,2020-04-01,4.9055,,4.993
IRAO,2020-04-02,4.9335,,4.993
IRGZ,2020-03-31,9.2,,11.78
IRGZ,2020-04-01,12.26,,11.78
IRGZ,2020-04-02,12.12,,11.78
IRKT,2020-03-31,28,,31.24
IRKT,2020-04-01,28.38,,31.24
IRKT,2020-04-02,30.68,,31.24
ISKJ,2020-03-31,11.68,,12.29
ISKJ,2020-04-01,11.94,,12.29
ISKJ,2020-04-02,12.29,,12.29
JNOS,2020-03-31,15.75,,16.15
JNOS,2020-04-01,15.4,,16.15
JNOS,2020-04-02,15.7,,16.15
JNOSP,2020-03-31,12.7,,12.9
JNOSP,2020-04-01,12.7,,12.9
JNOSP,2020-04-02,12.58,,12.9
KAZT,2020-03-31,147.8,,148
KAZT,2020-04-01,148.2,,148
KAZT,2020-04-02,145.8,,148
KAZTP,2020-03-31,145.6,,150
KAZTP,2020-04-01,147.6,,150
KAZTP,2020-04-02,148.8,,150
KBSB,2020-03-31,134.5,,134
KBSB,2020-04-01,135,,134
KBSB,2020-04-02,132.5,,134
KBTK,2020-03-31,147.4,,151
KBTK,2020-04-01,147.6,,151
KBTK,2020-04-02,147.8,,151
KCHE,2020-03-31,0.16,,0.18
KCHE,2020-04-01,0.1695,,0.18
KCHE,2020-04-02,0.1665,,0.18
KCHEP,2020-03-31,0.319,,0.351
KCHEP,2020-04-01,0.32,,0.351
KCHEP,2020-04-02,,,0.351
KGKC,2020-03-31,53,,52
KGKC,2020-04-01,51,,52
KGKC,2020-04-02,51,,52
KGKCP,2020-03-31,54.5,,56
KGKCP,2020-04-01,54.5,,56
KGKCP,2020-04-02,56,,56
KLSB,2020-03-31,9.31,,9.89
KLSB,2020-04-01,9.68,,9.89
KLSB,2020-04-02,9.7,,9.89
KMAZ,2020-03-31,51.7,,52.7
KMAZ,2020-04-01,51,,52.7
KMAZ,2020-04-02,50.9,,52.7
KMEZ,2020-03-31,411.5,,430.5
KMEZ,2020-04-01,411,,430.5
KMEZ,2020-04-02,414,,430.5
KMTZ,2020-03-31,,,
KMTZ,2020-04-01,,,
KMTZ,2020-04-02,,,
KOGK,2020-03-31,,,44400
KOGK,2020-04-01,42000,,44400
KOGK,2020-04-02,42000,,44400
KRKN,2020-03-31,11750,,12200
KRKN,2020-04-01,11750,,12200
KRKN,2020-04-02,11800,,12200
KRKNP,2020-03-31,15260,,15500
KRKNP,2020-04-01,15300,,15500
KRKNP,2020-04-02,15400,,15500
KRKO,2020-03-31,,,
KRKO,2020-04-01,,,
KRKO,2020-04-02,,,
KRKOP,2020-03-31,3.69,,4.08
KRKOP,2020-04-01,3.805,,4.08
KRKOP,2020-04-02,4.005,,4.08
KROT,2020-03-31,291,,302
KROT,2020-04-01,292,,302
KROT,2020-04-02,296.5,,302
KROTP,2020-03-31,206,,210
KROTP,2020-04-01,205,,210
KROTP,2020-04-02,204,,210
KRSB,2020-03-31,5.28,,5.46
KRSB,2020-04-01,5.37,,5.46
KRSB,2020-04-02,5.4,,5.46
KRSBP,2020-03-31,5.3,,5.5
KRSBP,2020-04-01,5.38,,5.5
KRSBP,2020-04-02,5.48,,5.5
KSGR,2020-03-31,,,
KSGR,2020-04-01,,,
KSGR,2020-04-02,,,
KTSB,2020-03-31,0.45,,0.482
KTSB,2020-04-01,0.468,,0.482
KTSB,2020-04-02,0.468,,0.482
KTSBP,2020-03-31,0.216,,0.223
KTSBP,2020-04-01,0.214,,0.223
KTSBP,2020-04-02,0.2225,,0.223
KUBE,2020-03-31,59.7,,63.1
KUBE,2020-04-01,61.9,,63.1
KUBE,2020-04-02,61.9,,63.1
KUNF,2020-03-31,,,
KUNF,2020-04-01,,,
KUNF,2020-04-02,,,
KUZB,2020-03-31,0.01469,,0.01688
KUZB,2020-04-01,0.01489,,0.01688
KUZB,2020-04-02,0.016,,0.01688
KZMS,2020-03-31,,,
KZMS,2020-04-01,,,
KZMS,2020-04-02,,,
KZOS,2020-03-31,85,,86.5
KZOS,2020-04-01,85,,86.5
KZOS,2020-04-02,86.5,,86.5
KZOSP,2020-03-31,10.87,,12.29
KZOSP,2020-04-01,11,,12.29
KZOSP,2020-04-02,11.37,,12.29
LIFE,2020-03-31,6.48,,6.395
LIFE,2020-04-01,6.485,,6.395
LIFE,2020-04-02,6.47,,6.395
LKOH,2020-03-31,4715,,5248
LKOH,2020-04-01,4674.5,,5248
LKOH,2020-04-02,5050,,5248
LNZL,2020-03-31,8540,,8200
LNZL,2020-04-01,8540,,8200
LNZL,2020-04-02,8390,,8200
LNZLP,2020-03-31,3715,,3445
LNZLP,2020-04-01,3610,,3445
LNZLP,2020-04-02,3520,,3445
LPSB,2020-03-31,7.35,,7.35
LPSB,2020-04-01,7.3,,7.35
LPSB,2020-04-02,7.3,,7.35
LSNG,2020-03-31,,,
LSNG,2020-04-01,,,
LSNG,2020-04-02,,,
LSNGP,2020-03-31,,,
LSNGP,2020-04-01,,,
LSNGP,2020-04-02,,,
LSRG,2020-03-31,587,,596.6
LSRG,2020-04-01,589.8,,596.6
LSRG,2020-04-02,589.4,,596.6
LVHK,2020-03-31,7.31,,7.3
LVHK,2020-04-01,7.4,,7.3
LVHK,2020-04-02,7.39,,7.3
MAGE,2020-03-31,4.35,,4.49
MAGE,2020-04-01,4.25,,4.49
MAGE,2020-04-02,4.24,,4.49
MAGEP,2020-03-31,3.895,,3.8
MAGEP,2020-04-01,3.845,,3.8
MAGEP,2020-04-02,3.855,,3.8
MAGN,2020-03-31,38.5,,37.885
MAGN,2020-04-01,38.485,,37.885
MAGN,2020-04-02,38.1,,37.885
MFGS,2020-03-31,298,,316.5
MFGS,2020-04-01,306,,316.5
MFGS,2020-04-02,314,,316.5
MFGSP,2020-03-31,289,,290
MFGSP,2020-04-01,285.5,,290
MFGSP,2020-04-02,286.5,,290
MFON,2020-03-31,,,
MFON,2020-04-01,,,
MFON,2020-04-02,,,
MGNT,2020-03-31,3202.5,,3212
MGNT,2020-04-01,3140,,3212
MGNT,2020-04-02,3190,,3212
MGNZ,2020-03-31,4080,,4060
MGNZ,2020-04-01,4040,,4060
MGNZ,2020-04-02,3900,,4060
MGTS,2020-03-31,2460,,2420
MGTS,2020-04-01,2460,,2420
MGTS,2020-04-02,2465,,2420
MGTSP,2020-03-31,2206,,2200
MGTSP,2020-04-01,2180,,2200
MGTSP,2020-04-02,2198,,2200
MISB,2020-03-31,10.3,,11.1
MISB,2020-04-01,10.5,,11.1
MISB,2020-04-02,10.6,,11.1
MISBP,2020-03-31,9.8,,9.8
MISBP,2020-04-01,10,,9.8
MISBP,2020-04-02,10,,9.8
MOBB,2020-03-31,2.118,,2.386
MOBB,2020-04-01,2.2,,2.386
MOBB,2020-04-02,2.284,,2.386
MOEX,2020-03-31,97.25,,100.02
MOEX,2020-04-01,96.71,,100.02
MOEX,2020-04-02,97.25,,100.02
MORI,2020-03-31,,,
MORI,2020-04-01,,,
MORI,2020-04-02,,,
MRKC,2020-03-31,0.2382,,0.2446
MRKC,2020-04-01,0.2376,,0.2446
MRKC,2020-04-02,0.2398,,0.2446
MRKK,2020-03-31,25.12,,25.8
MRKK,2020-04-01,25.24,,25.8
MRKK,2020-04-02,25.18,,25.8
MRKP,2020-03-31,0.1564,,0.1651
MRKP,2020-04-01,0.157,,0.1651
MRKP,2020-04-02,0.1616,,0.1651
MRKS,2020-03-31,0.2125,,0.217
MRKS,2020-04-01,0.2105,,0.217
MRKS,2020-04-02,0.212,,0.217
MRKU,2020-03-31,0.1308,,0.1394
MRKU,2020-04-01,0.1346,,0.1394
MRKU,2020-04-02,0.1352,,0.1394
MRKV,2020-03-31,0.0658,,0.06895
MRKV,2020-04-01,0.0657,,0.06895
MRKV,2020-04-02,0.0677,,0.06895
MRKY,2020-03-31,0.04855,,0.0504
MRKY,2020-04-01,0.04895,,0.0504
MRKY,2020-04-02,0.05,,0.0504
MRKZ,2020-03-31,0.04405,,0.0459
MRKZ,2020-04-01,0.04425,,0.0459
MRKZ,2020-04-02,0.04445,,0.0459
MRSB,2020-03-31,0.31,,0.342
MRSB,2020-04-01,0.323,,0.342
MRSB,2020-04-02,0.333,,0.342
MSNG,2020-03-31,1.849,,1.899
MSNG,2020-04-01,1.815,,1.899
MSNG,2020-04-02,1.851,,1.899
MSRS,2020-03-31,0.9825,,0.999
MSRS,2020-04-01,0.967,,0.999
MSRS,2020-04-02,0.98,,0.999
MSTT,2020-03-31,139.8,,151.3
MSTT,2020-04-01,142.65,,151.3
MSTT,2020-04-02,143.6,,151.3
MTLR,2020-03-31,60.79,,62.66
MTLR,2020-04-01,59.76,,62.66
