ticker,vol,start_date,end_date,days_count
ABRD,6.81,2017-03-02,2020-04-03,780
AFKS,11.04,2017-03-02,2020-04-03,780
AFLT,8.4,2017-03-02,2020-04-03,780
AKRN,3.86,2017-03-02,2020-04-03,780
ALBK,54.78,2017-03-02,2020-04-03,780
ALNU,8.22,2017-03-02,2020-04-03,780
ALRS,6.61,2017-03-02,2020-04-03,780
AMEZ,7.23,2017-03-02,2020-04-03,780
APTK,18.87,2017-03-02,2020-04-03,780
AQUA,17.18,2017-03-02,2020-04-03,780
ARSA,6.47,2017-03-02,2020-04-03,780
ASSB,12.94,2017-03-02,2020-04-03,780
AVAN,12.21,2017-03-02,2020-04-03,780
AVAZ,6.6,2017-03-02,2019-04-09,532
AVAZP,7.15,2017-03-02,2019-04-09,532
BANE,6.01,2017-03-02,2020-04-03,780
BANEP,6.74,2017-03-02,2020-04-03,780
BISV,0.0,2017-03-02,2020-04-03,780
BISVP,5.01,2017-03-02,2020-04-03,780
BLNG,7.28,2017-03-02,2020-04-03,780
BRZL,4.4,2017-03-02,2020-04-03,780
BSPB,5.67,2017-03-02,2020-04-03,780
CBOM,3.25,2017-03-02,2020-04-03,780
CHEP,11.79,2017-03-02,2020-04-03,780
CHGZ,11.43,2017-03-02,2020-04-03,780
CHKZ,37.95,2017-03-02,2020-04-03,780
CHMF,5.2,2017-03-02,2020-04-03,780
CHMK,6.28,2017-03-02,2020-04-03,780
CHZN,6.96,2017-03-02,2018-10-09,407
CLSB,13.82,2017-03-02,2019-07-24,605
CLSBP,11.09,2017-03-02,2019-07-24,605
CNTL,9.61,2017-03-02,2020-04-03,780
CNTLP,17.77,2017-03-02,2020-04-03,780
DASB,18.97,2017-03-02,2020-04-03,780
DGBZ,4.21,2017-03-02,2018-02-28,250
DIOD,7.6,2017-03-02,2020-04-03,780
DIXY,6.44,2017-03-02,2018-06-27,333
DVEC,11.84,2017-03-02,2020-04-03,780
DZRD,7.95,2017-03-02,2020-04-03,780
DZRDP,8.13,2017-03-02,2020-04-03,780
ELTZ,14.92,2017-03-02,2020-04-03,780
ENRU,6.5,2017-03-02,2020-04-03,780
EPLN,5.75,2017-03-02,2017-12-29,211
ERCO,3.51,2017-03-02,2018-03-06,254
FEES,7.34,2017-03-02,2020-04-03,780
FESH,13.87,2017-03-02,2020-04-03,780
FORTP,0.0,2017-03-02,2017-04-13,30
GAZA,8.52,2017-03-02,2020-04-03,780
GAZAP,9.26,2017-03-02,2020-04-03,704
GAZC,0.09,2017-03-02,2020-04-03,780
GAZP,7.27,2017-03-02,2020-04-03,780
GAZS,0.0,2017-03-02,2020-04-03,780
GAZT,3.25,2017-03-02,2020-04-03,780
GCHE,8.93,2017-03-02,2020-04-03,780
GMKN,5.65,2017-03-02,2020-04-03,780
GRAZ,17.31,2017-03-02,2017-05-11,47
GRNT,14.15,2017-03-02,2019-08-13,619
HALS,9.59,2017-03-02,2020-04-03,780
HIMC,0.0,2017-03-02,2020-04-03,780
HIMCP,6.1,2017-03-02,2020-04-03,780
HYDR,6.8,2017-03-02,2020-04-03,780
IDVP,44.56,2017-03-02,2020-04-03,780
IGST,13.98,2017-03-02,2020-04-03,780
IGSTP,13.25,2017-03-02,2020-04-03,780
IRAO,6.71,2017-03-02,2020-04-03,780
IRGZ,7.57,2017-03-02,2020-04-03,780
IRKT,17.3,2017-03-02,2020-04-03,780
ISKJ,12.67,2017-03-02,2020-04-03,780
JNOS,9.2,2017-03-02,2020-04-03,780
JNOSP,6.77,2017-03-02,2020-04-03,780
KAZT,6.42,2017-03-02,2020-04-03,780
KAZTP,5.94,2017-03-02,2020-04-03,780
KBSB,6.29,2017-03-02,2020-04-03,780
KBTK,10.97,2017-03-02,2020-04-03,780
KCHE,13.19,2017-03-02,2020-04-03,780
KCHEP,22.08,2017-03-02,2020-04-03,780
KGKC,7.73,2017-03-02,2020-04-03,780
KGKCP,9.66,2017-03-02,2020-04-03,780
KLSB,20.34,2017-03-02,2020-04-03,780
KMAZ,7.0,2017-03-02,2020-04-03,780
KMEZ,10.29,2017-03-02,2020-04-03,780
KOGK,12.07,2017-03-02,2020-04-03,780
KRKN,9.04,2017-03-02,2020-04-03,780
KRKNP,5.1,2017-03-02,2020-04-03,780
KRKO,0.0,2017-03-02,2020-04-03,780
KRKOP,14.95,2017-03-02,2020-04-03,780
KROT,7.23,2017-03-02,2020-04-03,780
KROTP,9.86,2017-03-02,2020-04-03,780
KRSB,6.11,2017-03-02,2020-04-03,780
KRSBP,6.14,2017-03-02,2020-04-03,780
KRSG,0.0,2017-03-02,2017-06-19,73
KTSB,14.2,2017-03-02,2020-04-03,780
KTSBP,8.82,2017-03-02,2020-04-03,780
KUBE,7.54,2017-03-02,2020-04-03,780
KUZB,11.62,2017-03-02,2020-04-03,780
KZMS,0.0,2017-03-02,2020-04-03,780
KZOS,5.8,2017-03-02,2020-04-03,780
KZOSP,24.04,2017-03-02,2020-04-03,780
LIFE,14.31,2017-03-02,2020-04-03,780
LKOH,6.18,2017-03-02,2020-04-03,780
LNZL,7.86,2017-03-02,2020-04-03,780
LNZLP,6.41,2017-03-02,2020-04-03,780
LPSB,19.15,2017-03-02,2020-04-03,780
LSNG,6.33,2017-03-02,2020-04-03,780
LSNGP,7.27,2017-03-02,2020-04-03,780
LSRG,7.24,2017-03-02,2020-04-03,780
LVHK,14.34,2017-03-02,2020-04-03,780
MAGE,8.69,2017-03-02,2020-04-03,780
MAGEP,11.18,2017-03-02,2020-04-03,780
MAGN,6.44,2017-03-02,2020-04-03,780
MERF,16.77,2017-03-02,2020-02-27,755
MFGS,6.77,2017-03-02,2020-04-03,780
MFGSP,7.1,2017-03-02,2020-04-03,780
MFON,5.2,2017-03-02,2020-04-03,780
MGNT,8.02,2017-03-02,2020-04-03,780
MGNZ,9.62,2017-03-02,2020-04-03,780
MGTS,11.39,2017-03-02,2020-04-03,780
MGTSP,10.07,2017-03-02,2020-04-03,780
MISB,19.74,2017-03-02,2020-04-03,780
MISBP,20.7,2017-03-02,2020-04-03,780
MOBB,11.99,2017-03-02,2020-04-03,780
MOEX,5.8,2017-03-02,2020-04-03,780
MORI,6.23,2017-03-02,2020-04-03,780
MOTZ,13.94,2017-03-02,2018-04-04,274
MRKC,6.81,2017-03-02,2020-04-03,780
MRKK,13.08,2017-03-02,2020-04-03,780
MRKP,9.74,2017-03-02,2020-04-03,780
MRKS,19.15,2017-03-02,2020-04-03,780
MRKU,6.88,2017-03-02,2020-04-03,780
MRKV,8.89,2017-03-02,2020-04-03,780
MRKY,9.42,2017-03-02,2020-04-03,780
MRKZ,8.83,2017-03-02,2020-04-03,780
MRSB,8.55,2017-03-02,2020-04-03,780
MSNG,7.53,2017-03-02,2020-04-03,780
MSRS,6.24,2017-03-02,2020-04-03,780
MSST,42.82,2017-03-02,2019-07-11,596
MSTT,9.44,2017-03-02,2020-04-03,780
MTLR,12.21,2017-03-02,2020-04-03,780
MTLRP,10.47,2017-03-02,2020-04-03,780
MTSS,5.74,2017-03-02,2020-04-03,780
MUGS,37.14,2017-03-02,2018-12-26,462
MUGSP,13.53,2017-03-02,2018-12-26,462
MVID,5.73,2017-03-02,2020-04-03,780
NAUK,14.79,2017-03-02,2020-04-03,780
NFAZ,10.32,2017-03-02,2020-04-03,780
NKHP,5.27,2017-03-02,2020-04-03,780
NKNC,8.61,2017-03-02,2020-04-03,780
NKNCP,13.66,2017-03-02,2020-04-03,780
NKSH,11.22,2017-03-02,2020-04-03,780
